County,Origin,Map
Anderson County,1846,"1,071 sq mi"
Andrews County,1876,"1,501 sq mi"
Angelina County,1846,802 sq mi
Aransas County,1871,252 sq mi
Archer County,1858,910 sq mi
Armstrong County,1876,914 sq mi
Atascosa County,1856,"1,232 sq mi"
Austin County,1836,653 sq mi
Bailey County,1876,827 sq mi
Bandera County,1856,792 sq mi
Bastrop County,1836,888 sq mi
Baylor County,1858,871 sq mi
Bee County,1857,880 sq mi
Bell County,1850,"1,059 sq mi"
Bexar County,1836,"1,247 sq mi"
Blanco County,1858,711 sq mi
Borden County,1876,899 sq mi
Bosque County,1854,989 sq mi
Bowie County,1840,888 sq mi
Brazoria County,1836,"1,387 sq mi"
Brazos County,1841,586 sq mi
Brewster County,1887,"6,193 sq mi"
Briscoe County,1876,900 sq mi
Brooks County,1911,943 sq mi
Brown County,1856,944 sq mi
Burleson County,1846,666 sq mi
Burnet County,1852,995 sq mi
Caldwell County,1848,546 sq mi
Calhoun County,1846,512 sq mi
Callahan County,1858,899 sq mi
Cameron County,1848,906 sq mi
Camp County,1874,198 sq mi
Carson County,1876,923 sq mi
Cass County,1846,938 sq mi
Castro County,1876,898 sq mi
Chambers County,1858,599 sq mi
Cherokee County,1846,"1,052 sq mi"
Childress County,1876,710 sq mi
Clay County,1857,"1,098 sq mi"
Cochran County,1876,775 sq mi
Coke County,1889,899 sq mi
Coleman County,1858,"1,273 sq mi"
Collin County,1846,848 sq mi
Collingsworth County,1876,919 sq mi
Colorado County,1836,"963 sq mi"
Comal County,1846,562 sq mi
Comanche County,1856,938 sq mi
Concho County,1858,992 sq mi
Cooke County,1848,874 sq mi
Coryell County,1854,"1,052 sq mi"
Cottle County,1876,901 sq mi
Crane County,1887,786 sq mi
Crockett County,1875,"2,808 sq mi"
Crosby County,1876,900 sq mi
Culberson County,1911,"3,813 sq mi"
Dallam County,1876,"1,505 sq mi"
Dallas County,1846,"888 sq mi"
Dawson County,1876,902 sq mi
Deaf Smith County,1876,"1,497 sq mi"
Delta County,1870,277 sq mi
Denton County,1846,888 sq mi
DeWitt County,1846,909 sq mi
Dickens County,1876,904 sq mi
Dimmit County,1858,"1,331 sq mi"
Donley County,1876,930 sq mi
Duval County,1858,"1,793 sq mi"
Eastland County,1858,926 sq mi
Ector County,1887,901 sq mi
Edwards County,1858,"2,120 sq mi"
Ellis County,1849,940 sq mi
El Paso County,1848,"1,013 sq mi"
Erath County,1856,"1,086 sq mi"
Falls County,1850,769 sq mi
Fannin County,1837,892 sq mi
Fayette County,1837,950 sq mi
Fisher County,1876,901 sq mi
Floyd County,1876,992 sq mi
Foard County,1891,707 sq mi
Fort Bend County,1837,875 sq mi
Franklin County,1875,286 sq mi
Freestone County,1850,885 sq mi
Frio County,1858,"1,133 sq mi"
Gaines County,1876,"1,502 sq mi"
Galveston County,1838,399 sq mi
Garza County,1876,896 sq mi
Gillespie County,1848,"1,061 sq mi"
Glasscock County,1887,901 sq mi
Goliad County,1836,854 sq mi
Gonzales County,1836,"1,068 sq mi"
Gray County,1876,928 sq mi
Grayson County,1846,934 sq mi
Gregg County,1873,274 sq mi
Grimes County,1846,794 sq mi
Guadalupe County,1846,711 sq mi
Hale County,1876,"1,005 sq mi"
Hall County,1876,903 sq mi
Hamilton County,1856,836 sq mi
Hansford County,1876,920 sq mi
Hardeman County,1858,695 sq mi
Hardin County,1858,894 sq mi
Harris County,1836,"1,729 sq mi"
Harrison County,1839,899 sq mi
Hartley County,1876,"1,462 sq mi"
Haskell County,1858,903 sq mi
Hays County,1848,678 sq mi
Hemphill County,1876,910 sq mi
Henderson County,1846,874 sq mi
Hidalgo County,1852,"1,569 sq mi"
Hill County,1853,962 sq mi
Hockley County,1876,908 sq mi
Hood County,1866,422 sq mi
Hopkins County,1846,785 sq mi
Houston County,1837,"1,231 sq mi"
Howard County,1876,903 sq mi
Hudspeth County,1917,"4,571 sq mi"
Hunt County,1846,841 sq mi
Hutchinson County,1876,887 sq mi
Irion County,1889,"1,052 sq mi"
Jack County,1856,917 sq mi
Jackson County,1836,830 sq mi
Jasper County,1836,938 sq mi
Jeff Davis County,1887,"2,265 sq mi"
Jefferson County,1836,904 sq mi
Jim Hogg County,1913,"1,136 sq mi"
Jim Wells County,1911,865 sq mi
Johnson County,1854,729 sq mi
